1,Kharkof,CI1442,Check
2,Scout 66,CI13996,""""
3,TAM-107,PI495594,""""
4,Csm*3/3/Newton/Largo//2*Csm,OK88W833,Oklahoma
5,Cty sib/4/Aiv/3/Tcs//TI sib/Sdy,OK89499,""""
6,2165/Cty sib,OK89399,""""
7,OK83197/Sxl,OK89421,""""
8,TX78V2154/Siouxland,TX88V4636,Texas
9,Vona/TX71D4889-V3,TX84V1418HF,""""
10,Karl Resel,TX88V5440,""""
11,TX78V2154/Siouxland,TX88V4636,""""
12,TAM-105/3/NE70654/BBY/Bow's',TX87V1613,""""
13,NE78696/Payne,TX88V4524,""""
14,TAM-200//TX38949-2/TAM-107,TX89V4138,""""
15,Karl Resel,TX88V5433,""""
16,Siouxland/TAM-101,TX88A6480,""""
17,TX71A889/TAM-101,TX88A6533,""""
18,TX73165/Sandy,CO860086,Colorado
19,NE76667/Hawk (Jules),CO860094,""""
20,Sandy/Hail,CO860235,""""
21,Arkan/Hawk,CO870449,""""
22,Bulk Selection (Arlin),KSSB-369-7,Kansas
23,Karl sib (Kar 92),KS831374-142,""""
24,Hawk/(Pkg16/Lov13//Jgw13)//TAM-108,KS84170E-8-3,""""
25,TX71A889/2172//2157,HBC302E,""""
26,Lr16/Lr17//Larned/3/Cheney/Larned/4/Bnt sib/5/TAM107,KS87H325-2,""""
27,Dular/Eagle//2*Cheney/Larned/3/Colt,KS89H48-1,""""
28,"""  ""  """,KS89H50-4,""""
29,NE69565//NE65671/NE69655/3/Homestead/4/Ctk/3/At66/Cmn//TX2607-6,N87V106,"NE, USDA"
30,Arkan/Colt//Chisholm sib,NE88595,Nebraska
31,Bennett/TAM-107,NE88427,""""
32,Centura/Dawn//Colt sib,NE88584,":"""
33,""" "" "" ",NE88588,""""
34,Quantum Hybrid Wheat,XH1319,HybriTech
35,""" "" """,XH1436,""""
36,""" "" """,XH1437,""""
37,""" "" "" ",XH1497,""""
38,Colt/Victory (Laredo),W87-018,Agripro
39,WI81-133/Arkan (Pecos),Wi88-181,""""
40,W84-179/W81-171,Wi88-082,""""
41,TAM-107/TAM-105,T13,Trio
42,2165/Vona,T67,""""
43,TAM-108/Lancota,T21-3,""""
44,HRW Hybrid,TH901,""""
45,HRW Hybrid,TH902,""""
