1,Kharkof,CI1442,Check
2,Scout 66,CI13996,""""
3,TAM-107,PI45594,""""
4,F29-76/TAM-105//Chisholm,OK88767-11,Oklahoma
5,"""""""",OK88767-02,""""
6,"""""""",OK88767-15,""""
7,"""""""",OK88767-24,""""
8,Siouxland/TAM-101,TX86A6480,Texas
9,TX71A889/TAM-101,TX86A6533,""""
10,TAM-200//Sxl/Tan's',TX90D9277,""""
11,TAM-105/10334,TX89A7137,""""
12,TAM-200//TX38949-2/TAM-107,TX91V4931,""""
13,TX81V6603/TX78A3345-V34,TX90V8410,""""
14,TX78V2430-2/TX86V1540,TX90V7911,""""
15,TX86V1540//Lind/Tan,TX91V5739,""""
16,TAM-108/Vee's'//TX84V2029,TX91V3308,""""
17,TAM-105/10334,TX89A7141,""""
18,Lov 13/2*Ctk78//TAM-105,CO880054,Colorado
19,TAM-107/Hail,CO880169,""""
20,TAM-107/TX3006,CO880210,""""
21,Colt/TX3006,CO880240,""""
22,Karl sb,KS831374-142,Kansas
23,KS82W418/Stephens,KS84063-9-7,""""
24,WX11088/2165//W8447,KS92PO59E,""""
25,(Sturdy/2/Coker 68-15/Mow7510/3/Tam101)/5/(ln494A4-18-2/Mow7718/4/Sturdy/Kaw)/6/2163,KS92PO263-137,""""
26,WX12907/4/Tam108/5/(Sturdy/2/Coker 68-15/Mow7510/3/Tam101),KS92P0363-134,""""
27,W8447D/W2436//W3420,KS92PO425-155,""""
28,Dular/Eagle//2*Cheney/Larned/3/Colt,KS89H48-1,""""
29,NE69565//NE65671/NE69655/3/Homestead/4/Ctk/3/At66/Cmn//TX2607-6,N87V106,"NE, USDA"
30,Centura/Dawn//Colt sib,NE88584,Nebraska
31,KS83H2510/Brule composite,NE90479,""""
32,Brule seln/4/Bez 1/3/Ctk//Arthur/Ctk78,NE90524,""""
33,Rodeo/Brule sein//Arapahoe,NE90574,""""
34,Quantum Hybrid Wheat,XH1455,HybriTech
35,"""""""",XH1485,""""
36,"""""""",XH1520,""""
37,"""""""",XH1529,""""
38,"""""""",XH1610,""""
39,W81-133/Thunderbird (Ponderosa),W87-017-44,Agripro
40,TX81V6187/Abiline (Ogallala),WI89-055,""""
41,TAM-107/TAM-105,T13,Trio
42,T14//Brule/TAM-108,T4731,""""
43,Coker 68-151/TAM-107,T70,""""
44,Osage/TAM-105,T64,""""
45,HRW Hybrid,TH905,""""
